Date,Category,Diff
2016-06-15,disturbance,3.049999999999997
2016-06-16,normal,50.11
2016-06-17,normal,38.669999999999995
2016-06-18,normal,27.949999999999996
2016-06-19,normal,36.06999999999999
2016-06-20,normal,37.489999999999995
2016-06-21,normal,55.510000000000005
2016-06-22,disturbance,50.800000000000004
2016-06-23,normal,16.229999999999997
2016-06-24,disturbance,48.48
2016-06-25,normal,34.19
2016-06-26,disturbance,50.86000000000001
2016-06-27,disturbance,31.649999999999995
2016-06-28,normal,12.339999999999996
2016-06-29,normal,15.719999999999999
2016-06-30,peculiar,-23.209999999999997
2016-07-01,peculiar,6.149999999999999
2016-07-02,missing,nan
2016-07-03,normal,35.41
2016-07-04,normal,17.4
2016-07-05,normal,49.93
2016-07-06,normal,17.64
2016-07-07,disturbance,30.11999999999999
2016-07-08,disturbance,36.86
2016-07-09,disturbance,22.740000000000002
2016-07-10,normal,46.92999999999999
2016-07-11,normal,51.72999999999999
2016-07-12,disturbance,5.8799999999999955
2016-07-13,normal,54.47
2016-07-14,disturbance,nan
2016-07-15,normal,32.709999999999994
2016-07-16,normal,45.36
2016-07-17,normal,27.449999999999996
2016-07-18,normal,42.67999999999999
2016-07-19,disturbance,78.89000000000001
2016-07-20,disturbance,23.129999999999995
2016-07-21,normal,51.660000000000004
2016-07-22,disturbance,6.280000000000001
2016-07-23,peculiar,-5.979999999999997
2016-07-24,disturbance,41.589999999999996
2016-07-25,disturbance,31.67
2016-07-26,normal,35.31999999999999
2016-07-27,normal,23.35
2016-07-28,disturbance,nan
2016-07-29,peculiar,8.84
2016-07-30,normal,29.33
2016-07-31,normal,45.61
2016-08-01,normal,29.04999999999999
2016-08-02,disturbance,21.36999999999999
2016-08-03,disturbance,-31.190000000000005
2016-08-04,disturbance,53.550000000000004
2016-08-05,disturbance,34.760000000000005
2016-08-06,normal,72.55
2016-08-07,disturbance,88.88
2016-08-08,normal,57.05
2016-08-09,missing,nan
2016-08-10,normal,18.690000000000005
2016-08-11,normal,33.91
2016-08-12,normal,33.13999999999999
2016-08-13,normal,22.869999999999997
2016-08-14,normal,52.11
2016-08-15,normal,46.92999999999999
2016-08-16,normal,46.16
2016-08-17,normal,18.019999999999996
2016-08-18,missing,nan
2016-08-19,normal,50.72999999999999
2016-08-20,normal,65.39000000000001
2016-08-21,normal,22.5
2016-08-22,normal,46.3
2016-08-23,disturbance,26.42
2016-08-24,disturbance,8.220000000000006
2016-08-25,normal,24.44999999999999
2016-08-26,normal,45.12
2016-08-27,normal,23.119999999999997
2016-08-28,peculiar,-0.25
2016-08-29,normal,28.840000000000003
2016-08-30,disturbance,98.47
2016-08-31,normal,57.43000000000001
2016-09-01,disturbance,93.65
2016-09-02,disturbance,31.68
2016-09-03,disturbance,6.449999999999996
2016-09-04,disturbance,92.84
2016-09-05,disturbance,101.81
2016-09-06,normal,68.89999999999999
2016-09-07,normal,37.470000000000006
2016-09-08,peculiar,8.240000000000002
2016-09-09,normal,30.489999999999995
2016-09-10,normal,65.06
2016-09-11,normal,70.72
2016-09-12,normal,48.45
2016-09-13,normal,39.739999999999995
2016-09-14,normal,59.239999999999995
2016-09-15,peculiar,9.469999999999999
2016-09-16,normal,50.99
2016-09-17,normal,71.28
2016-09-18,normal,69.09
2016-09-19,normal,25.959999999999994
2016-09-20,disturbance,60.76
2016-09-21,disturbance,37.72
2016-09-22,normal,33.230000000000004
2016-09-23,normal,43.32000000000001
2016-09-24,normal,74.17
2016-09-25,disturbance,34.91
2016-09-26,disturbance,44.39
2016-09-27,disturbance,65.62
2016-09-28,disturbance,61.96
2016-09-29,disturbance,63.160000000000004
2016-09-30,disturbance,64.13999999999999
2016-10-01,disturbance,77.45
2016-10-02,disturbance,53.730000000000004
2016-10-03,normal,98.36999999999999
2016-10-04,disturbance,34.02
2016-10-05,disturbance,70.58000000000001
2016-10-06,normal,94.89999999999999
2016-10-07,normal,110.69999999999999
2016-10-08,normal,76.49000000000001
2016-10-09,normal,72.71000000000001
2016-10-10,normal,39.38999999999999
2016-10-11,normal,49.3
2016-10-12,normal,63.949999999999996
2016-10-13,disturbance,74.83000000000001
2016-10-14,disturbance,30.57999999999999
2016-10-15,normal,34.940000000000005
2016-10-16,disturbance,nan
2016-10-17,disturbance,47.040000000000006
2016-10-18,normal,91.19
2016-10-19,normal,89.78999999999999
2016-10-20,normal,90.25
2016-10-21,normal,62.81
2016-10-22,missing,nan
2016-10-23,missing,nan
2016-10-24,disturbance,nan
2016-10-25,disturbance,nan
2016-10-26,disturbance,nan
